# mean_0, mean_1, mean_2, mean_3, mean_4, mean_5, mean_6, mean_7, max_prob, pred, GT, std_0, std_1, std_2, std_3, std_4, std_5, std_6, std_7
0.000,0.767,0.233,0.000,0.000,0.000,0.000,0.000,0.767,1.000,1.000,0.000,0.423,0.423,0.000,0.000,0.000,0.000,0.000
0.000,0.033,0.098,0.436,0.367,0.067,0.000,0.000,0.436,3.000,2.000,0.000,0.180,0.293,0.494,0.482,0.249,0.000,0.000
0.000,0.555,0.445,0.000,0.000,0.000,0.000,0.000,0.555,1.000,2.000,0.000,0.489,0.489,0.000,0.000,0.000,0.000,0.000
0.000,0.100,0.567,0.233,0.100,0.000,0.000,0.000,0.567,2.000,2.000,0.000,0.300,0.496,0.423,0.300,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.867,0.133,0.000,0.000,0.867,4.000,4.000,0.000,0.000,0.000,0.000,0.340,0.340,0.000,0.000
0.000,0.000,0.000,0.033,0.300,0.067,0.332,0.268,0.332,6.000,4.000,0.000,0.000,0.000,0.180,0.458,0.249,0.470,0.442
0.800,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.800,0.000,0.000,0.400,0.400,0.000,0.000,0.000,0.000,0.000,0.000
0.400,0.267,0.133,0.067,0.033,0.067,0.000,0.033,0.400,0.000,4.000,0.490,0.442,0.340,0.249,0.180,0.249,0.000,0.180
0.000,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.500,1.000,1.000,0.000,0.500,0.500,0.000,0.000,0.000,0.000,0.000
0.100,0.900,0.000,0.000,0.000,0.000,0.000,0.000,0.900,1.000,0.000,0.299,0.299,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.200,0.600,0.200,0.600,6.000,7.000,0.000,0.000,0.000,0.000,0.000,0.400,0.490,0.400
0.000,0.000,0.000,0.167,0.667,0.167,0.000,0.000,0.667,4.000,4.000,0.000,0.000,0.000,0.373,0.471,0.373,0.000,0.000
0.000,0.000,0.000,0.000,0.767,0.200,0.000,0.033,0.767,4.000,5.000,0.000,0.000,0.000,0.000,0.423,0.400,0.000,0.180
0.533,0.467,0.000,0.000,0.000,0.000,0.000,0.000,0.533,0.000,0.000,0.499,0.499,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.200,0.133,0.600,0.000,0.067,0.000,0.600,4.000,4.000,0.000,0.000,0.400,0.340,0.490,0.000,0.249,0.000
0.033,0.367,0.200,0.133,0.200,0.067,0.000,0.000,0.367,1.000,1.000,0.180,0.482,0.400,0.340,0.400,0.249,0.000,0.000
0.000,0.000,0.000,0.166,0.233,0.100,0.267,0.234,0.267,6.000,7.000,0.000,0.000,0.000,0.372,0.423,0.300,0.442,0.423
0.000,0.000,0.000,0.067,0.767,0.167,0.000,0.000,0.767,4.000,4.000,0.000,0.000,0.000,0.249,0.423,0.373,0.000,0.000
0.533,0.467,0.000,0.000,0.000,0.000,0.000,0.000,0.533,0.000,0.000,0.499,0.499,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.033,0.000,0.600,0.200,0.133,0.033,0.600,4.000,4.000,0.000,0.000,0.180,0.000,0.490,0.400,0.340,0.180
0.667,0.300,0.033,0.000,0.000,0.000,0.000,0.000,0.667,0.000,0.000,0.471,0.458,0.180,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.067,0.400,0.467,0.000,0.067,0.467,5.000,4.000,0.000,0.000,0.000,0.249,0.490,0.499,0.000,0.249
0.267,0.733,0.000,0.000,0.000,0.000,0.000,0.000,0.733,1.000,0.000,0.442,0.442,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.133,0.700,0.167,0.000,0.000,0.700,4.000,4.000,0.000,0.000,0.000,0.340,0.458,0.373,0.000,0.000
0.000,0.633,0.367,0.000,0.000,0.000,0.000,0.000,0.633,1.000,1.000,0.000,0.482,0.482,0.000,0.000,0.000,0.000,0.000
0.267,0.733,0.000,0.000,0.000,0.000,0.000,0.000,0.733,1.000,0.000,0.442,0.442,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.167,0.136,0.206,0.300,0.000,0.158,0.033,0.300,4.000,4.000,0.000,0.373,0.339,0.398,0.458,0.000,0.354,0.180
0.000,0.000,0.000,0.000,0.900,0.100,0.000,0.000,0.900,4.000,4.000,0.000,0.000,0.000,0.000,0.300,0.300,0.000,0.000
0.000,0.000,0.967,0.000,0.033,0.000,0.000,0.000,0.967,2.000,1.000,0.000,0.000,0.180,0.000,0.180,0.000,0.000,0.000
0.067,0.367,0.333,0.000,0.000,0.000,0.000,0.233,0.367,1.000,0.000,0.249,0.482,0.471,0.000,0.000,0.000,0.000,0.423
0.000,0.000,0.000,0.000,0.632,0.333,0.034,0.000,0.632,4.000,4.000,0.000,0.000,0.000,0.000,0.481,0.471,0.179,0.000
0.033,0.000,0.000,0.000,0.799,0.167,0.000,0.000,0.799,4.000,5.000,0.180,0.000,0.000,0.000,0.400,0.372,0.000,0.000
0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,4.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.067,0.867,0.067,0.000,0.000,0.000,0.000,0.000,0.867,1.000,1.000,0.249,0.340,0.249,0.000,0.000,0.000,0.000,0.000
0.133,0.867,0.000,0.000,0.000,0.000,0.000,0.000,0.867,1.000,0.000,0.340,0.340,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.299,0.701,0.000,0.000,0.000,0.000,0.000,0.701,2.000,0.000,0.000,0.457,0.457,0.000,0.000,0.000,0.000,0.000
0.167,0.833,0.000,0.000,0.000,0.000,0.000,0.000,0.833,1.000,0.000,0.373,0.373,0.000,0.000,0.000,0.000,0.000,0.000
0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.733,0.267,0.000,0.000,0.733,4.000,4.000,0.000,0.000,0.000,0.000,0.442,0.442,0.000,0.000
0.033,0.000,0.000,0.267,0.433,0.233,0.000,0.033,0.433,4.000,4.000,0.180,0.000,0.000,0.442,0.496,0.423,0.000,0.180
0.533,0.433,0.033,0.000,0.000,0.000,0.000,0.000,0.533,0.000,0.000,0.499,0.496,0.180,0.000,0.000,0.000,0.000,0.000
0.033,0.100,0.133,0.733,0.000,0.000,0.000,0.000,0.733,3.000,2.000,0.180,0.300,0.340,0.442,0.000,0.000,0.000,0.000
0.000,0.967,0.033,0.000,0.000,0.000,0.000,0.000,0.967,1.000,1.000,0.000,0.180,0.180,0.000,0.000,0.000,0.000,0.000
0.000,0.200,0.800,0.000,0.000,0.000,0.000,0.000,0.800,2.000,1.000,0.000,0.400,0.400,0.000,0.000,0.000,0.000,0.000
0.367,0.633,0.000,0.000,0.000,0.000,0.000,0.000,0.633,1.000,0.000,0.482,0.482,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.700,0.300,0.000,0.000,0.000,0.000,0.000,0.700,1.000,1.000,0.000,0.458,0.458,0.000,0.000,0.000,0.000,0.000
0.700,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.700,0.000,0.000,0.458,0.458,0.000,0.000,0.000,0.000,0.000,0.000
0.033,0.833,0.133,0.000,0.000,0.000,0.000,0.000,0.833,1.000,0.000,0.180,0.373,0.340,0.000,0.000,0.000,0.000,0.000
0.600,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.000,0.000,0.490,0.490,0.000,0.000,0.000,0.000,0.000,0.000
0.300,0.700,0.000,0.000,0.000,0.000,0.000,0.000,0.700,1.000,0.000,0.458,0.458,0.000,0.000,0.000,0.000,0.000,0.000
0.067,0.000,0.833,0.000,0.000,0.000,0.067,0.033,0.833,2.000,4.000,0.249,0.000,0.373,0.000,0.000,0.000,0.249,0.180
0.000,0.867,0.133,0.000,0.000,0.000,0.000,0.000,0.867,1.000,0.000,0.000,0.340,0.340,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.400,0.600,0.000,0.000,0.000,0.600,4.000,4.000,0.000,0.000,0.000,0.490,0.490,0.000,0.000,0.000
0.600,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.000,0.000,0.490,0.490,0.000,0.000,0.000,0.000,0.000,0.000
0.467,0.533,0.000,0.000,0.000,0.000,0.000,0.000,0.533,1.000,0.000,0.499,0.499,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.933,0.067,0.000,0.000,0.933,4.000,4.000,0.000,0.000,0.000,0.000,0.249,0.249,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.133,0.351,0.516,0.516,7.000,7.000,0.000,0.000,0.000,0.000,0.000,0.340,0.469,0.491
0.000,0.000,0.000,0.000,0.833,0.133,0.000,0.033,0.833,4.000,5.000,0.000,0.000,0.000,0.000,0.373,0.340,0.000,0.180
0.000,0.000,0.000,0.000,0.000,0.133,0.433,0.433,0.433,7.000,7.000,0.000,0.000,0.000,0.000,0.000,0.340,0.496,0.496
0.000,0.067,0.133,0.500,0.300,0.000,0.000,0.000,0.500,3.000,2.000,0.000,0.249,0.340,0.500,0.458,0.000,0.000,0.000
0.000,0.000,0.000,0.133,0.833,0.000,0.000,0.033,0.833,4.000,4.000,0.000,0.000,0.000,0.340,0.373,0.000,0.000,0.180
0.000,0.000,0.867,0.000,0.133,0.000,0.000,0.000,0.867,2.000,4.000,0.000,0.000,0.340,0.000,0.340,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.867,0.133,0.000,0.000,0.867,4.000,4.000,0.000,0.000,0.000,0.000,0.340,0.340,0.000,0.000
0.400,0.600,0.000,0.000,0.000,0.000,0.000,0.000,0.600,1.000,0.000,0.490,0.490,0.000,0.000,0.000,0.000,0.000,0.000
0.700,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.700,0.000,0.000,0.458,0.458,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.700,0.300,0.000,0.000,0.000,0.000,0.000,0.700,1.000,1.000,0.000,0.458,0.458,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.133,0.067,0.233,0.067,0.200,0.300,0.300,7.000,4.000,0.000,0.000,0.340,0.249,0.423,0.249,0.400,0.458
0.133,0.767,0.100,0.000,0.000,0.000,0.000,0.000,0.767,1.000,0.000,0.339,0.423,0.300,0.000,0.000,0.000,0.000,0.000
0.433,0.567,0.000,0.000,0.000,0.000,0.000,0.000,0.567,1.000,0.000,0.496,0.496,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.533,0.467,0.000,0.000,0.000,0.000,0.000,0.533,1.000,1.000,0.000,0.499,0.499,0.000,0.000,0.000,0.000,0.000
0.000,0.033,0.967,0.000,0.000,0.000,0.000,0.000,0.967,2.000,0.000,0.000,0.180,0.180,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.572,0.300,0.067,0.028,0.033,0.572,3.000,4.000,0.000,0.000,0.000,0.490,0.458,0.249,0.151,0.180
0.533,0.433,0.033,0.000,0.000,0.000,0.000,0.000,0.533,0.000,0.000,0.499,0.496,0.180,0.000,0.000,0.000,0.000,0.000
0.000,0.700,0.300,0.000,0.000,0.000,0.000,0.000,0.700,1.000,1.000,0.000,0.458,0.458,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.867,0.133,0.000,0.000,0.867,4.000,4.000,0.000,0.000,0.000,0.000,0.340,0.340,0.000,0.000
0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.233,0.767,0.000,0.000,0.000,0.000,0.000,0.767,2.000,1.000,0.000,0.423,0.423,0.000,0.000,0.000,0.000,0.000
0.033,0.200,0.167,0.233,0.233,0.067,0.067,0.000,0.233,3.000,2.000,0.180,0.400,0.373,0.423,0.423,0.249,0.249,0.000
0.000,0.000,0.000,0.000,0.000,0.067,0.267,0.667,0.667,7.000,7.000,0.000,0.000,0.000,0.000,0.000,0.249,0.442,0.471
0.665,0.335,0.000,0.000,0.000,0.000,0.000,0.000,0.665,0.000,0.000,0.471,0.471,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.400,0.533,0.067,0.000,0.000,0.000,0.000,0.533,2.000,1.000,0.000,0.490,0.499,0.249,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.433,0.367,0.133,0.067,0.433,4.000,5.000,0.000,0.000,0.000,0.000,0.496,0.482,0.340,0.249
0.000,0.000,0.000,0.000,0.067,0.100,0.333,0.500,0.500,7.000,7.000,0.000,0.000,0.000,0.000,0.249,0.300,0.471,0.500
0.000,0.000,0.000,0.000,0.000,0.067,0.600,0.333,0.600,6.000,7.000,0.000,0.000,0.000,0.000,0.000,0.249,0.490,0.471
0.000,0.000,0.000,0.000,0.900,0.100,0.000,0.000,0.900,4.000,4.000,0.000,0.000,0.000,0.000,0.300,0.300,0.000,0.000
0.000,0.000,0.000,0.000,0.400,0.300,0.267,0.033,0.400,4.000,4.000,0.000,0.000,0.000,0.000,0.490,0.458,0.442,0.180
0.000,0.000,0.000,0.000,0.000,0.067,0.067,0.867,0.867,7.000,7.000,0.000,0.000,0.000,0.000,0.000,0.249,0.249,0.340
0.000,0.833,0.167,0.000,0.000,0.000,0.000,0.000,0.833,1.000,0.000,0.000,0.373,0.373,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.300,0.400,0.300,0.000,0.000,0.400,4.000,4.000,0.000,0.000,0.000,0.458,0.490,0.458,0.000,0.000
0.000,0.233,0.767,0.000,0.000,0.000,0.000,0.000,0.767,2.000,1.000,0.000,0.423,0.423,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.615,0.352,0.000,0.033,0.615,4.000,5.000,0.000,0.000,0.000,0.000,0.478,0.469,0.000,0.180
0.000,0.000,0.000,0.000,0.067,0.133,0.300,0.500,0.500,7.000,7.000,0.000,0.000,0.000,0.000,0.249,0.340,0.458,0.500
0.000,0.033,0.200,0.033,0.300,0.333,0.067,0.033,0.333,5.000,4.000,0.000,0.180,0.400,0.180,0.458,0.471,0.249,0.180
0.000,0.000,0.000,0.000,0.000,0.033,0.100,0.867,0.867,7.000,7.000,0.000,0.000,0.000,0.000,0.000,0.180,0.300,0.340
0.000,0.067,0.067,0.033,0.633,0.167,0.000,0.033,0.633,4.000,5.000,0.000,0.249,0.249,0.179,0.482,0.373,0.000,0.180
0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.667,0.333,0.000,0.000,0.000,0.000,0.000,0.667,1.000,1.000,0.000,0.471,0.471,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.800,0.200,0.000,0.000,0.800,4.000,4.000,0.000,0.000,0.000,0.000,0.400,0.400,0.000,0.000
0.000,0.833,0.167,0.000,0.000,0.000,0.000,0.000,0.833,1.000,0.000,0.000,0.373,0.373,0.000,0.000,0.000,0.000,0.000
0.033,0.667,0.167,0.100,0.033,0.000,0.000,0.000,0.667,1.000,2.000,0.180,0.471,0.373,0.300,0.180,0.000,0.000,0.000
0.000,0.000,0.000,0.133,0.733,0.133,0.000,0.000,0.733,4.000,4.000,0.000,0.000,0.000,0.340,0.442,0.340,0.000,0.000
0.067,0.000,0.000,0.400,0.267,0.233,0.000,0.033,0.400,3.000,4.000,0.249,0.000,0.000,0.490,0.442,0.423,0.000,0.180
0.000,0.867,0.133,0.000,0.000,0.000,0.000,0.000,0.867,1.000,1.000,0.000,0.340,0.340,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.133,0.200,0.633,0.000,0.000,0.033,0.633,4.000,4.000,0.000,0.000,0.340,0.400,0.482,0.000,0.000,0.180
0.200,0.800,0.000,0.000,0.000,0.000,0.000,0.000,0.800,1.000,0.000,0.400,0.400,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.800,0.200,0.000,0.000,0.800,4.000,4.000,0.000,0.000,0.000,0.000,0.400,0.400,0.000,0.000
0.467,0.533,0.000,0.000,0.000,0.000,0.000,0.000,0.533,1.000,0.000,0.499,0.499,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.267,0.400,0.333,0.000,0.000,0.400,4.000,4.000,0.000,0.000,0.000,0.442,0.490,0.471,0.000,0.000
0.000,0.000,0.000,0.000,0.900,0.100,0.000,0.000,0.900,4.000,4.000,0.000,0.000,0.000,0.000,0.300,0.300,0.000,0.000
0.000,0.000,0.000,0.067,0.400,0.500,0.000,0.033,0.500,5.000,4.000,0.000,0.000,0.000,0.249,0.490,0.500,0.000,0.180
0.267,0.733,0.000,0.000,0.000,0.000,0.000,0.000,0.733,1.000,0.000,0.442,0.442,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.967,0.033,0.000,0.000,0.000,0.000,0.000,0.967,1.000,1.000,0.000,0.180,0.180,0.000,0.000,0.000,0.000,0.000
0.533,0.467,0.000,0.000,0.000,0.000,0.000,0.000,0.533,0.000,0.000,0.499,0.499,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.133,0.100,0.767,0.767,7.000,7.000,0.000,0.000,0.000,0.000,0.000,0.340,0.300,0.423
0.468,0.133,0.398,0.000,0.000,0.000,0.000,0.000,0.468,0.000,0.000,0.498,0.340,0.488,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.733,0.000,0.233,0.033,0.733,4.000,4.000,0.000,0.000,0.000,0.000,0.442,0.000,0.423,0.180
0.000,0.000,0.000,0.000,0.900,0.100,0.000,0.000,0.900,4.000,4.000,0.000,0.000,0.000,0.000,0.300,0.300,0.000,0.000
0.700,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.700,0.000,0.000,0.458,0.458,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.333,0.434,0.167,0.000,0.066,0.434,4.000,4.000,0.000,0.000,0.000,0.471,0.495,0.373,0.000,0.249
0.700,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.700,0.000,0.000,0.458,0.458,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.033,0.267,0.700,0.000,0.000,0.700,5.000,5.000,0.000,0.000,0.000,0.180,0.442,0.458,0.000,0.000
0.000,0.133,0.233,0.133,0.500,0.000,0.000,0.000,0.500,4.000,2.000,0.000,0.340,0.423,0.340,0.500,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.033,0.067,0.500,0.400,0.500,6.000,7.000,0.000,0.000,0.000,0.000,0.180,0.249,0.500,0.490
0.000,0.000,0.000,0.033,0.867,0.000,0.067,0.033,0.867,4.000,4.000,0.000,0.000,0.000,0.180,0.340,0.000,0.249,0.180
0.000,0.000,0.000,0.000,0.000,0.033,0.033,0.933,0.933,7.000,7.000,0.000,0.000,0.000,0.000,0.000,0.180,0.180,0.249
0.033,0.133,0.833,0.000,0.000,0.000,0.000,0.000,0.833,2.000,0.000,0.180,0.340,0.373,0.000,0.000,0.000,0.000,0.000
0.481,0.519,0.000,0.000,0.000,0.000,0.000,0.000,0.519,1.000,0.000,0.491,0.491,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.267,0.000,0.133,0.467,0.100,0.033,0.000,0.467,4.000,4.000,0.000,0.442,0.000,0.340,0.499,0.300,0.180,0.000
0.567,0.433,0.000,0.000,0.000,0.000,0.000,0.000,0.567,0.000,0.000,0.496,0.496,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.967,0.033,0.000,0.000,0.000,0.000,0.000,0.967,1.000,1.000,0.000,0.180,0.180,0.000,0.000,0.000,0.000,0.000
0.333,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.667,1.000,0.000,0.471,0.471,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.400,0.600,0.000,0.000,0.000,0.000,0.000,0.600,2.000,1.000,0.000,0.490,0.490,0.000,0.000,0.000,0.000,0.000
0.167,0.833,0.000,0.000,0.000,0.000,0.000,0.000,0.833,1.000,0.000,0.373,0.373,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.167,0.833,0.000,0.000,0.000,0.000,0.000,0.833,2.000,1.000,0.000,0.373,0.373,0.000,0.000,0.000,0.000,0.000
0.000,0.467,0.467,0.000,0.000,0.000,0.000,0.067,0.467,1.000,0.000,0.000,0.499,0.499,0.000,0.000,0.000,0.000,0.249
0.000,0.433,0.300,0.033,0.233,0.000,0.000,0.000,0.433,1.000,2.000,0.000,0.496,0.458,0.180,0.423,0.000,0.000,0.000
0.000,0.333,0.667,0.000,0.000,0.000,0.000,0.000,0.667,2.000,2.000,0.000,0.471,0.471,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.300,0.533,0.167,0.000,0.000,0.533,4.000,4.000,0.000,0.000,0.000,0.458,0.499,0.373,0.000,0.000
0.000,0.067,0.633,0.100,0.133,0.067,0.000,0.000,0.633,2.000,2.000,0.000,0.249,0.482,0.300,0.340,0.249,0.000,0.000
0.000,0.967,0.000,0.033,0.000,0.000,0.000,0.000,0.967,1.000,0.000,0.000,0.180,0.000,0.180,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.500,5.000,5.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000
0.000,0.000,0.000,0.000,0.067,0.100,0.333,0.500,0.500,7.000,7.000,0.000,0.000,0.000,0.000,0.249,0.300,0.471,0.500
0.000,0.967,0.033,0.000,0.000,0.000,0.000,0.000,0.967,1.000,1.000,0.000,0.180,0.180,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.033,0.067,0.900,0.900,7.000,7.000,0.000,0.000,0.000,0.000,0.000,0.180,0.249,0.300
0.000,0.000,0.000,0.000,0.884,0.083,0.033,0.000,0.884,4.000,5.000,0.000,0.000,0.000,0.000,0.307,0.260,0.180,0.000
0.000,0.000,0.000,0.000,0.100,0.100,0.433,0.367,0.433,6.000,7.000,0.000,0.000,0.000,0.000,0.300,0.300,0.496,0.482
0.000,0.000,0.000,0.007,0.700,0.100,0.159,0.033,0.700,4.000,4.000,0.000,0.000,0.000,0.039,0.458,0.300,0.358,0.180
0.367,0.633,0.000,0.000,0.000,0.000,0.000,0.000,0.633,1.000,0.000,0.482,0.482,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.067,0.033,0.300,0.467,0.100,0.000,0.033,0.467,4.000,4.000,0.000,0.249,0.180,0.458,0.499,0.300,0.000,0.180
0.000,0.000,0.133,0.000,0.767,0.100,0.000,0.000,0.767,4.000,4.000,0.000,0.000,0.340,0.000,0.423,0.300,0.000,0.000
0.000,0.167,0.833,0.000,0.000,0.000,0.000,0.000,0.833,2.000,1.000,0.000,0.373,0.373,0.000,0.000,0.000,0.000,0.000
0.000,0.433,0.567,0.000,0.000,0.000,0.000,0.000,0.567,2.000,1.000,0.000,0.496,0.496,0.000,0.000,0.000,0.000,0.000
0.233,0.767,0.000,0.000,0.000,0.000,0.000,0.000,0.767,1.000,0.000,0.423,0.423,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.067,0.200,0.467,0.067,0.100,0.100,0.000,0.467,3.000,2.000,0.000,0.249,0.400,0.499,0.249,0.300,0.300,0.000
0.000,0.966,0.034,0.000,0.000,0.000,0.000,0.000,0.966,1.000,1.000,0.000,0.179,0.179,0.000,0.000,0.000,0.000,0.000
0.233,0.767,0.000,0.000,0.000,0.000,0.000,0.000,0.767,1.000,0.000,0.423,0.423,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.700,0.100,0.167,0.033,0.700,4.000,4.000,0.000,0.000,0.000,0.000,0.458,0.300,0.373,0.180
0.267,0.733,0.000,0.000,0.000,0.000,0.000,0.000,0.733,1.000,0.000,0.442,0.442,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.167,0.000,0.000,0.267,0.067,0.000,0.500,0.500,7.000,7.000,0.000,0.373,0.000,0.000,0.442,0.249,0.000,0.500
0.100,0.667,0.233,0.000,0.000,0.000,0.000,0.000,0.667,1.000,0.000,0.300,0.471,0.423,0.000,0.000,0.000,0.000,0.000
0.100,0.533,0.367,0.000,0.000,0.000,0.000,0.000,0.533,1.000,0.000,0.300,0.499,0.482,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.233,0.500,0.233,0.000,0.033,0.500,4.000,4.000,0.000,0.000,0.000,0.423,0.500,0.423,0.000,0.180
0.567,0.367,0.067,0.000,0.000,0.000,0.000,0.000,0.567,0.000,0.000,0.496,0.482,0.249,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.167,0.600,0.100,0.100,0.033,0.600,4.000,4.000,0.000,0.000,0.000,0.373,0.490,0.300,0.300,0.180
0.000,0.033,0.500,0.000,0.433,0.000,0.000,0.033,0.500,2.000,4.000,0.000,0.180,0.500,0.000,0.496,0.000,0.000,0.180
0.333,0.633,0.033,0.000,0.000,0.000,0.000,0.000,0.633,1.000,1.000,0.471,0.482,0.180,0.000,0.000,0.000,0.000,0.000
0.567,0.433,0.000,0.000,0.000,0.000,0.000,0.000,0.567,0.000,0.000,0.496,0.496,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.033,0.600,0.267,0.100,0.000,0.600,4.000,4.000,0.000,0.000,0.000,0.180,0.490,0.442,0.300,0.000
0.000,0.100,0.900,0.000,0.000,0.000,0.000,0.000,0.900,2.000,2.000,0.000,0.300,0.300,0.000,0.000,0.000,0.000,0.000
0.000,0.100,0.867,0.033,0.000,0.000,0.000,0.000,0.867,2.000,2.000,0.000,0.300,0.340,0.180,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.133,0.400,0.467,0.467,7.000,7.000,0.000,0.000,0.000,0.000,0.000,0.340,0.490,0.499
0.000,0.000,0.000,0.000,0.133,0.800,0.067,0.000,0.800,5.000,5.000,0.000,0.000,0.000,0.000,0.340,0.400,0.249,0.000
0.000,0.000,0.033,0.700,0.100,0.100,0.000,0.067,0.700,3.000,4.000,0.000,0.000,0.180,0.458,0.300,0.300,0.000,0.249
0.000,0.000,0.000,0.000,0.467,0.500,0.000,0.033,0.500,5.000,5.000,0.000,0.000,0.000,0.000,0.499,0.500,0.000,0.180
0.000,0.000,0.000,0.000,0.000,0.067,0.367,0.567,0.567,7.000,7.000,0.000,0.000,0.000,0.000,0.000,0.249,0.482,0.496
0.000,0.000,0.000,0.000,0.767,0.000,0.167,0.067,0.767,4.000,4.000,0.000,0.000,0.000,0.000,0.423,0.000,0.373,0.249
0.000,0.133,0.100,0.567,0.133,0.067,0.000,0.000,0.567,3.000,2.000,0.000,0.340,0.300,0.496,0.340,0.249,0.000,0.000
0.033,0.967,0.000,0.000,0.000,0.000,0.000,0.000,0.967,1.000,0.000,0.180,0.180,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.767,0.233,0.000,0.000,0.767,4.000,4.000,0.000,0.000,0.000,0.000,0.423,0.423,0.000,0.000
0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.233,0.767,0.000,0.000,0.000,0.000,0.000,0.000,0.767,1.000,0.000,0.423,0.423,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.067,0.633,0.100,0.200,0.000,0.633,4.000,4.000,0.000,0.000,0.000,0.249,0.482,0.300,0.400,0.000
